time,husky_odom_pose_x,husky_odom_pose_y,husky_odom_pose_theta,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,filtered_odom_pose_x,filtered_odom_pose_y,filtered_odom_pose_theta
1728293497.2737794,0.9429119911477979,1.3150966286043624,0.8037369604982578,0.0004166616028703863,0.0016455536232802114,0.4746249516324099,0.8801864994615144,1.5379003670872742,0.9474910426863635,0.4744860446715226
1728293497.3740306,0.9270988237522935,1.3625891913675732,0.8183942951491764,0.00019778522712732933,0.00023136270615344693,0.48426921225830327,0.8749189890561438,1.5649221302323826,0.9896563430275902,0.48450440204004286
1728293497.4739587,0.9089290852051636,1.4092444156841855,0.832467661189716,0.00019838726225334866,0.00023162116557318,0.48504752135315016,0.8744877409222472,1.5916795811885605,1.0325774758967703,0.4855374372746642
1728293497.573904,0.888436279282714,1.4549876143629723,0.8459882882220262,0.00020799424545176512,0.00022984418814135546,0.485832278046351,0.8740520016099363,1.6178824315216205,1.0747230196999735,0.4862781557131961
1728293497.6738715,0.8657465146188773,1.4995522429235302,0.8590136968120952,0.00020698758998621565,0.00023265270492204778,0.5003456389793153,0.8658257010410568,1.6439078225203458,1.1174306238160054,0.4992762469150061
1728293497.773755,0.8409156907569068,1.5428358152601216,0.8715212130139669,0.00021934276398822699,0.00024005302069096936,0.5278727472771716,0.849323411278266,1.6675587279874569,1.1613725170455502,0.5271758730422903
1728293497.8739007,0.8139679112943176,1.5848104929095834,0.8834742119635225,0.00032286368834133516,0.00028384314120184144,0.5486187633178203,0.8360725253994032,1.6886766616103703,1.206543775075996,0.5480113314683513
1728293497.9739037,0.784930173186063,1.6254380885577189,0.8948684155756562,0.00018540744281798682,0.00024209631253606975,0.5691805349830108,0.8222125185193361,1.7075737913251876,1.2527852969122528,0.5686089870108056
1728293498.0739079,0.7538385774486072,1.6646467283021589,0.9057288086389786,0.00017600878312098853,0.00025432306718521007,0.582796317269525,0.8126182110424092,1.7246143149606328,1.3003733894270801,0.5828108959557998
1728293498.173918,0.7208447263085612,1.7022375301724644,0.9160330757479339,0.0001756468916530419,0.0002576948922163593,0.5956765548748382,0.8032243427050481,1.7398537145000719,1.3474860335695982,0.595404676160094
1728293498.2737033,0.6860441981708072,1.7381020030814422,0.9257671588636713,0.00017209559464071667,0.0002621961164038719,0.6128264644306364,0.7902174549639795,1.7534647445568625,1.3955716392986894,0.6124740482436918
